Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
The Circle,2010,7.3,"5,929",48,Series,TV-MA,40,Mild,None,Moderate,Mild,None,Game-Show, Reality-TV,
Deadly Friend,1986,5.6,"7,248",91,Film,R,-,None,Severe,Moderate,Mild,Severe,Drama, Horror, Sci-Fi
Searching,2018,7.6,"152,434",102,Film,PG-13,-,None,Mild,Mild,Mild,Mild,Drama, Mystery, Thriller
Rushmore,1998,7.7,"176,496",93,Film,R,-,Mild,Mild,Moderate,Mild,None,Comedy, Drama, Romance
The Fugitive,1993,7.8,"279,990",130,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Crime, Drama
Edge of the World,2021,5.2,"1,345",104,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Adventure, Drama,
Frontier,2021,7.2,"18,879",60,Series,TV-MA,18,Moderate,Severe,Moderate,Mild,Moderate,Adventure, Drama, History
The Happening,2008,5,"201,651",91,Film,R,-,None,Moderate,Mild,None,Moderate,Drama, Mystery, Sci-Fi
The Texas Chainsaw Massacre: The Beginning,2006,5.8,"69,966",91,Film,R,-,Mild,Severe,Severe,Mild,Severe,Horror, Thriller,
Wild Crime,2006,7.7,168,None,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate,Documentary, Crime, Mystery
Gone Baby Gone,2007,7.6,"262,940",114,Film,R,-,Mild,Severe,Severe,Moderate,Moderate,Crime, Drama, Mystery
Chef,2014,7.3,"206,395",114,Film,R,-,Mild,None,Moderate,Mild,None,Adventure, Comedy, Drama
Untitled David O. Russell,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, History,
Shadow in the Cloud,2020,4.9,"21,544",83,Film,R,-,None,Moderate,Severe,None,Moderate,Action, Horror, War
Monty Python and the Holy Grail,1975,8.2,"518,859",91,Film,PG,-,Mild,Moderate,Moderate,None,Mild,Adventure, Comedy, Fantasy
A.I. Artificial Intelligence,2001,7.2,"298,761",146,Film,PG-13,-,Mild,Mild,Mild,Mild,Moderate,Drama, Sci-Fi,
The Secret Life of Walter Mitty,2013,7.3,"304,229",114,Film,PG,-,None,Mild,Mild,Mild,Mild,Adventure, Comedy, Drama
How to Train Your Dragon,2010,8.1,"695,722",98,Film,PG,-,None,Mild,None,None,Mild,Animation, Action, Adventure
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"468,803",95,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Comedy,,
Rio Bravo,1959,8,"59,307",141,Film,Passed,-,Mild,Mild,Mild,Moderate,Mild,Action, Drama, Western
Fresh Off the Boat,1959,7.8,"23,781",22,Series,TV-PG,116,None,Mild,Mild,No Rate,No Rate,Comedy,,
Love Story,2021,7.8,"1,734",155,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Romance,,
The Virginian,2021,7.6,"2,304",75,Series,TV-PG,249,No Rate,No Rate,No Rate,No Rate,No Rate,Western,,
The Hole,2001,6.2,"45,619",102,Film,R,-,Moderate,Moderate,Moderate,Moderate,Severe,Drama, Mystery, Thriller
Ballers,2001,7.6,"40,378",30,Series,TV-MA,47,Severe,Mild,Severe,Moderate,None,Comedy, Drama, Sport
"I, Tonya",2017,7.5,"199,050",119,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate,Biography, Comedy, Drama
The League of Extraordinary Gentlemen,2003,5.8,"172,315",110,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Fantasy
Needle in a Timestack,2021,3.7,185,111,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Fantasy, Romance
Marley & Me,2008,7.1,"152,084",111,Film,PG,-,Mild,Mild,Moderate,None,Moderate,Comedy, Drama, Family
Sorjonen,2008,7.6,"8,919",60,Series,TV-MA,31,Moderate,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
Wellington Paranormal,2008,7.7,"3,774",30,Series,TV-14,25,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Crime, Fantasy
Weird Science,1985,6.6,"84,331",94,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Romance, Sci-Fi
Takt Op. Destiny,1985,8.5,291,24,Series,TV-14,3,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Action, Adventure
Tron,2010,6.8,"323,562",125,Film,PG,-,None,Mild,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
Solar Opposites,2010,8,"16,415",22,Series,TV-MA,40,Moderate,Severe,Severe,Moderate,Moderate,Animation, Comedy, Sci-Fi
First Blood,1982,7.7,"238,730",93,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Adventure,
1922,2017,6.3,"58,261",102,Film,TV-MA,-,None,Severe,Mild,Mild,Moderate,Crime, Drama, Horror
Excalibur,1981,7.4,"59,746",140,Film,R,-,Moderate,Moderate,None,None,Mild,Action, Adventure, Drama
Goosebumps,1981,7.7,"12,767",22,Series,TV-Y7,74,None,Mild,None,None,Moderate,Family, Fantasy, Horror
Perry Mason,1981,7.5,"16,950",60,Series,TV-MA,9,Severe,Moderate,Moderate,Moderate,Moderate,Crime, Drama,
Mannix,1981,7.3,"3,105",60,Series,TV-PG,194,None,Mild,None,Mild,Moderate,Action, Crime, Drama
"Ada Twist, Scientist",1981,7.4,55,12,Series,TV-PG,7,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
La cocinera de Castamar,2021,7.4,"2,666",None,Series,TV-MA,12,Moderate,Mild,Mild,Mild,Mild,Drama,,
Annie,1982,6.6,"42,452",126,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Comedy, Drama, Family
The Bourne Identity,2002,7.9,"524,928",119,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Mystery, Thriller
Fractured,2019,6.4,"65,103",99,Film,TV-MA,-,None,Moderate,Moderate,Mild,Moderate,Mystery, Thriller,
Beverly Hills Cop,1984,7.3,"174,607",105,Film,R,-,Moderate,Moderate,Severe,Mild,Mild,Action, Comedy, Crime
Resident Evil: The Final Chapter,2016,5.5,"88,801",107,Film,R,-,None,Severe,Moderate,None,Moderate,Action, Horror, Sci-Fi
Ragtime,1981,7.3,"9,346",155,Film,PG,-,Mild,Moderate,Moderate,Mild,No Rate,Drama,,
The Belko Experiment,2016,6.1,"48,055",89,Film,R,-,Mild,Severe,Severe,Mild,Severe,Horror, Thriller,
Traffic,2000,7.6,"202,098",147,Film,R,-,Moderate,Moderate,Severe,Severe,Moderate,Crime, Drama, Thriller
National Lampoon's Vacation,1983,7.4,"102,378",98,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild,Adventure, Comedy,
Gåsmamman,1983,7.5,"2,546",45,Series,None,46,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Thriller,
Hunt for the Wilderpeople,2016,7.9,"121,089",101,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild,Adventure, Comedy, Drama
Gone in Sixty Seconds,2000,6.5,"268,597",118,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild,Action, Crime, Thriller
12 Monkeys,2000,7.7,"42,680",42,Series,TV-14,47,Mild,Moderate,Moderate,Mild,Moderate,Adventure, Drama, Mystery
A Ghost Story,2017,6.9,"66,758",92,Film,R,-,Mild,Mild,Mild,Mild,Mild,Drama, Fantasy, Romance
Paranormal Activity,2007,6.3,"228,771",86,Film,R,-,None,Mild,Moderate,Mild,Severe,Horror, Mystery,
Jane Eyre,2011,7.3,"84,734",120,Film,PG-13,-,None,Mild,Mild,Mild,Moderate,Drama, Romance,
Stowaway,2021,5.6,"39,648",116,Film,TV-MA,-,None,None,Mild,None,Mild,Drama, Sci-Fi, Thriller
Hudson & Rex,2021,7.1,"1,497",45,Series,Not Rated,53,None,No Rate,Mild,No Rate,No Rate,Crime, Drama, Mystery
The Losers,2010,6.3,"97,873",97,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Adventure, Crime
Texas Chainsaw 3D,2013,4.8,"47,795",92,Film,R,-,Mild,Severe,Severe,Mild,Severe,Horror, Thriller,
Tag,2018,6.5,"124,702",100,Film,R,-,Moderate,Mild,Severe,Moderate,None,Action, Comedy,
After Hours,1985,7.7,"64,857",97,Film,R,-,Moderate,Mild,Mild,Moderate,Mild,Comedy, Crime, Drama
Fear,1996,6.2,"45,246",97,Film,R,-,Moderate,Severe,Moderate,Moderate,Severe,Drama, Thriller,
Porky's,1981,6.2,"40,787",94,Film,R,-,Moderate,Mild,Moderate,Mild,None,Comedy,,
The Irregulars,2021,6,"13,379",None,Series,TV-14,8,Mild,Moderate,Mild,Mild,Moderate,Crime, Drama, Fantasy
The Rain,2021,6.3,"33,821",45,Series,TV-MA,20,Mild,Moderate,Moderate,Mild,Moderate,Drama, Sci-Fi, Thriller
Clique,2021,7,"2,726",43,Series,TV-MA,12,Moderate,No Rate,Severe,Moderate,No Rate,Drama, Thriller,
The Purge,2021,6.5,"14,894",42,Series,TV-MA,20,Mild,Severe,Moderate,Mild,Severe,Action, Drama, Horror
Blackhat,2015,5.4,"56,909",133,Film,R,-,Mild,Moderate,Mild,Mild,Moderate,Action, Crime, Thriller
Benidorm,2015,7.4,"4,639",30,Series,Not Rated,74,Moderate,None,Moderate,Mild,Mild,Comedy,,
October Sky,1999,7.8,"87,180",108,Film,PG,-,None,Mild,Mild,None,Mild,Biography, Drama, Family
Murder Mystery,2019,6,"113,714",97,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Action, Comedy, Crime
Genius,2019,8.3,"17,684",43,Series,TV-14,29,Moderate,Moderate,Mild,Mild,Mild,Biography, Drama, History
Mamma Mia! Here We Go Again,2018,6.6,"87,351",114,Film,PG-13,-,Mild,None,None,Mild,None,Comedy, Musical, Romance
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,2018,8.7,"58,256",24,Series,TV-14,54,Moderate,Moderate,Mild,Mild,Severe,Animation, Action, Drama
The Exorcist III,1990,6.5,"29,623",110,Film,R,-,Mild,Moderate,Mild,Mild,Severe,Drama, Horror, Mystery
Halloweentown II: Kalabar's Revenge,2001,6.5,"8,229",81,Film,TV-PG,-,None,None,None,None,Mild,Adventure, Family, Fantasy
Murder on the Orient Express,1974,7.3,"58,838",128,Film,PG,-,None,Mild,None,Mild,Mild,Crime, Drama, Mystery
Romancing the Stone,1984,6.9,"88,373",106,Film,PG,-,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Comedy
Unbreakable,2000,7.3,"401,871",106,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Drama, Mystery, Sci-Fi
Boyz n the Hood,1991,7.8,"133,409",112,Film,R,-,Moderate,Moderate,Severe,Moderate,Severe,Crime, Drama,
Vis a vis,1991,8.2,"19,515",53,Series,TV-MA,51,Severe,Moderate,Moderate,Severe,Moderate,Action, Adventure, Drama
Easy A,2010,7,"373,327",92,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None,Comedy, Drama, Romance
Little Miss Sunshine,2006,7.8,"455,783",101,Film,R,-,Mild,None,Moderate,Moderate,Mild,Comedy, Drama,
Austin Powers in Goldmember,2002,6.2,"202,335",94,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Mild,Action, Adventure, Comedy
American Graffiti,1973,7.4,"85,695",110,Film,PG,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Drama,
21 Jump Street,1973,7.3,"11,709",60,Series,TV-14,102,None,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
The Alpines,2021,5.7,"2,249",93,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Horror, Mystery
The Young and the Restless,2021,5.1,"5,978",60,Series,TV-14,12277,Moderate,Severe,Severe,Mild,Mild,Drama, Romance,
If Beale Street Could Talk,2018,7.1,"46,133",119,Film,R,-,Moderate,Mild,Moderate,Mild,Mild,Drama, Romance,
Firefly Lane,2018,7.4,"17,997",None,Series,TV-MA,11,Moderate,None,Moderate,Moderate,Mild,Drama, Romance,
Falling Down,1993,7.6,"180,611",113,Film,R,-,Mild,Moderate,Severe,Mild,Severe,Action, Crime, Drama
Hotel Transylvania 2,2015,6.7,"116,092",89,Film,PG,-,None,Mild,None,None,Mild,Animation, Adventure, Comedy
Public Enemies,2009,7,"290,768",140,Film,R,-,Mild,Moderate,Mild,Mild,Moderate,Biography, Crime, Drama
Blades of Glory,2007,6.3,"163,246",93,Film,PG-13,-,Moderate,Mild,Moderate,Mild,None,Comedy, Sport,
Workin' Moms,2007,7.7,"13,691",30,Series,TV-MA,70,Moderate,None,Moderate,Moderate,None,Comedy,,
Pitch Perfect 2,2015,6.4,"149,127",115,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Music,
Inherent Vice,2014,6.7,"99,335",148,Film,R,-,Moderate,Mild,Severe,Severe,Moderate,Comedy, Crime, Drama
The Replacements,2000,6.6,"61,174",118,Film,PG-13,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Sport,
Defiance,2008,7.2,"143,033",137,Film,R,-,Mild,Moderate,Moderate,Mild,Severe,Action, Drama, History
Erin Brockovich,2000,7.4,"186,799",131,Film,R,-,Mild,Mild,Moderate,Mild,Mild,Biography, Drama,
Shark Tale,2004,6,"174,445",90,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Animation, Adventure, Comedy
Under the Dome,2004,6.6,"103,580",43,Series,TV-14,39,Moderate,Moderate,Mild,Moderate,Severe,Drama, Mystery, Sci-Fi
The Final Destination,2009,5.2,"101,193",82,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Action, Horror, Thriller
RoboCop,1987,7.6,"244,145",102,Film,R,-,Mild,Severe,Severe,Moderate,Severe,Action, Crime, Sci-Fi
The Change-Up,2011,6.3,"174,747",112,Film,R,-,Severe,Mild,Severe,Moderate,None,Comedy, Fantasy,
The Rainmaker,1997,7.2,"69,736",135,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Crime, Drama, Thriller
The Karate Kid,2010,6.2,"171,499",140,Film,PG,-,None,Moderate,Mild,None,Mild,Action, Drama, Family
Contact,1997,7.5,"264,273",150,Film,PG,-,Mild,Mild,Mild,Mild,Mild,Drama, Mystery, Sci-Fi
Monsters at Work,1997,7.1,"5,063",22,Series,TV-G,10,None,Mild,None,None,None,Animation, Adventure, Comedy
Blossom,1997,6.1,"7,592",30,Series,TV-PG,114,Mild,None,None,No Rate,No Rate,Comedy, Drama, Family
Venom,2005,4.6,"9,923",87,Film,R,-,Mild,Severe,Severe,Mild,Severe,Horror,,
City on a Hill,2005,7.6,"10,208",60,Series,TV-MA,26,Moderate,Moderate,Severe,Moderate,Moderate,Crime, Drama, Thriller
Apache Junction,2021,3.8,178,94,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Crime
The Cowboys,1972,7.4,"13,849",134,Film,GP,-,Mild,Moderate,Moderate,Mild,Moderate,Adventure, Drama, Western
This Is 40,2012,6.2,"133,744",134,Film,R,-,Moderate,Mild,Severe,Mild,None,Comedy, Romance,
Xena: Warrior Princess,2012,6.7,"43,432",45,Series,TV-PG,134,Mild,Moderate,None,Mild,Mild,Action, Adventure, Drama
Mission: Impossible,2012,7.9,"8,866",50,Series,TV-PG,171,None,Mild,No Rate,Mild,No Rate,Action, Adventure, Crime
The Masked Singer,2012,5.9,"3,685",60,Series,TV-PG,77,Mild,None,Moderate,Mild,Mild,Game-Show, Music, Reality-TV
Jason Bourne,2016,6.6,"216,427",123,Film,PG-13,-,None,Moderate,Moderate,None,Moderate,Action, Thriller,
Hotaru no haka,1988,8.5,"253,961",89,Film,Not Rated,-,None,Moderate,Mild,Mild,Severe,Animation, Drama, War
Who Framed Roger Rabbit,1988,7.7,"191,275",104,Film,PG,-,Mild,Mild,Mild,Moderate,Moderate,Animation, Adventure, Comedy
Demolition,2015,7,"94,811",101,Film,R,-,Mild,Mild,Moderate,Mild,Mild,Comedy, Drama,
The Warriors,1979,7.6,"98,134",92,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Crime, Thriller
Robin Hood,2010,6.6,"260,414",140,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Conan the Barbarian,2011,5.2,"97,378",113,Film,R,-,Moderate,Severe,Mild,Mild,Moderate,Action, Adventure, Fantasy
Dublin Murders,2019,7.2,"9,644",60,Series,TV-MA,8,Mild,Moderate,Mild,Moderate,Mild,Crime, Drama, Mystery
Along Came a Spider,2001,6.4,"81,482",104,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Drama, Thriller,
Forbidden Planet,1956,7.6,"47,290",98,Film,G,-,None,Mild,None,Mild,Mild,Action, Adventure, Sci-Fi
LuLaRich,1956,7.8,"2,381",None,Series,TV-14,4,No Rate,No Rate,No Rate,No Rate,No Rate,Documentary,,
Aquaman and the Lost Kingdom,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Fantasy
Thelma & Louise,1991,7.5,"144,992",130,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate,Adventure, Crime, Drama
The Boondock Saints,1999,7.7,"233,172",108,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Action, Crime, Thriller
Sausage Party,2016,6.1,"184,434",89,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate,Animation, Adventure, Comedy
Private Eyes,2016,7.4,"4,147",43,Series,TV-PG,60,Mild,Mild,Mild,No Rate,No Rate,Comedy, Crime, Drama
Transformers: Age of Extinction,2014,5.6,"305,225",165,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate,Action, Adventure, Sci-Fi
The Spanish Princess,2014,6.9,"6,539",55,Series,TV-MA,16,Moderate,Moderate,No Rate,No Rate,Moderate,Drama, History, Romance
Without a Trace,2014,6.9,"19,129",60,Series,TV-14,160,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Drama, Mystery
Barbarians,2014,7.2,"20,945",280,Series,TV-MA,12,Mild,Severe,Mild,Mild,Moderate,Action, Adventure, Drama
9 Songs,2004,4.8,"22,129",71,Film,Not Rated,-,Severe,None,Mild,Moderate,None,Drama, Music, Romance
Clash of the Titans,2010,5.8,"276,368",106,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate,Action, Adventure, Fantasy
Dracula Untold,2014,6.3,"186,984",92,Film,PG-13,-,Mild,Moderate,None,None,Moderate,Action, Drama, Fantasy
Sen Çal Kapimi,2014,7.5,"7,043",120,Series,TV-PG,52,Mild,No Rate,No Rate,No Rate,No Rate,Comedy, Romance,
Sweet Magnolias,2014,7.4,"10,909",None,Series,TV-14,19,Mild,None,Mild,No Rate,No Rate,Drama, Romance,
MacGyver,2014,7.7,"37,198",48,Series,TV-PG,139,Mild,Mild,Mild,Mild,Moderate,Action, Adventure, Crime
The Mask of Zorro,1998,6.8,"175,923",136,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Comedy
Lawrence of Arabia,1962,8.3,"280,229",228,Film,Approved,-,None,Moderate,Mild,Mild,Moderate,Adventure, Biography, Drama
Downton Abbey: A New Era,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Romance,
Miami Vice,2006,6,"113,818",132,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate,Action, Crime, Drama
The Elephant Man,1980,8.1,"231,156",124,Film,PG,-,None,Mild,Mild,Mild,Severe,Biography, Drama,
Law Abiding Citizen,2009,7.4,"283,020",109,Film,R,-,Mild,Severe,Severe,Mild,Severe,Action, Crime, Drama
Pinocchio,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Drama, Family
Slither,2006,6.5,"78,945",95,Film,R,-,Mild,Severe,Severe,Mild,Severe,Comedy, Horror, Sci-Fi
Dirty Work,1998,6.4,"26,350",82,Film,PG-13,-,Moderate,Mild,Mild,Mild,None,Comedy,,
Brothers & Sisters,1998,7.3,"22,625",60,Series,TV-PG,110,Mild,None,Mild,No Rate,Mild,Drama,,
Return to Halloweentown,2004,5.5,"6,234",88,Film,TV-PG,-,None,No Rate,Mild,No Rate,None,Action, Comedy, Family
Forgetting Sarah Marshall,2008,7.1,"274,065",111,Film,R,-,Severe,Mild,Moderate,Mild,None,Comedy, Drama, Romance
Sleepless in Seattle,1993,6.8,"167,456",105,Film,PG,-,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
Palmer,2021,7.3,"29,480",110,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild,Drama,,
Gi-eok-ui bam,2017,7.5,"26,651",108,Film,TV-MA,-,None,Moderate,Mild,Mild,Moderate,Mystery, Thriller,
To Kill a Mockingbird,1962,8.3,"304,935",129,Film,Approved,-,None,Mild,Mild,Mild,Moderate,Crime, Drama,
Anatomie,2000,6,"12,481",103,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Horror, Thriller,
Numb3rs,2000,6.9,"40,999",43,Series,TV-PG,119,Mild,Moderate,Mild,No Rate,Moderate,Crime, Drama, Mystery
The Little Rascals,1994,6.3,"46,692",82,Film,PG,-,None,Mild,None,None,Mild,Comedy, Family, Romance
Beautiful Creatures,2013,6.2,"85,965",124,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Drama, Fantasy, Romance
Beethoven,1992,5.7,"69,374",87,Film,PG,-,None,Mild,Mild,Mild,Mild,Comedy, Drama, Family
Disenchantment,1992,7.2,"52,692",30,Series,TV-14,40,Mild,Moderate,Mild,Moderate,Mild,Animation, Action, Adventure
Onward,2020,7.4,"126,955",102,Film,PG,-,None,Mild,None,None,Mild,Animation, Adventure, Comedy
The Expendables 3,2014,6.1,"175,832",126,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Adventure, Thriller
Norsemen,2014,7.8,"16,301",30,Series,TV-MA,18,Moderate,Severe,Moderate,Mild,Mild,Comedy,,
Mad Max 2,1981,7.6,"173,077",96,Film,R,-,Moderate,Moderate,Mild,None,Moderate,Action, Adventure, Sci-Fi
The Man from Toronto,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Comedy, Drama
Dirk Gently's Holistic Detective Agency,2022,8.2,"46,742",60,Series,TV-14,18,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Comedy
Rebecca,2020,6,"37,363",123,Film,PG-13,-,Mild,None,None,Mild,Mild,Drama, Mystery, Romance
Beauty and the Beast,1991,8,"429,091",84,Film,G,-,None,Mild,None,Mild,Mild,Animation, Family, Fantasy
Adventures of a Mathematician,2020,5.5,167,102,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Biography, Drama,
Bridge of Spies,2015,7.6,"299,591",142,Film,PG-13,-,None,Moderate,Moderate,Mild,Mild,Drama, History, Thriller
Marriage on the Rocks,1965,5.8,"1,145",109,Film,Approved,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy,,
Sex and the City,2008,5.6,"118,801",145,Film,R,-,Severe,None,Moderate,Mild,None,Comedy, Drama, Romance
Prospect,2018,6.3,"25,460",100,Film,R,-,None,Moderate,Mild,Mild,Moderate,Adventure, Drama, Sci-Fi
Beck,2018,7.4,"4,649",90,Series,Not Rated,42,No Rate,No Rate,No Rate,No Rate,No Rate,Crime, Mystery, Thriller
Cursed,2020,5.9,"27,078",60,Series,TV-MA,10,Mild,Severe,Mild,Mild,Moderate,Adventure, Drama, Fantasy
Atomic Blonde,2017,6.7,"185,030",115,Film,R,-,Moderate,Severe,Moderate,Moderate,Moderate,Action, Thriller,
The Goldfinch,2019,6.4,"20,109",149,Film,R,-,None,Mild,Moderate,Severe,Mild,Drama,,
Crawl,2019,6.1,"78,056",87,Film,R,-,None,Severe,Moderate,None,Severe,Action, Horror, Thriller
Leaving Las Vegas,1995,7.5,"119,359",111,Film,R,-,Moderate,Moderate,Severe,Severe,Severe,Drama, Romance,
Perfume: The Story of a Murderer,2006,7.5,"241,534",147,Film,R,-,Severe,Severe,None,Mild,Moderate,Crime, Drama, Fantasy
The Gifted,2006,7.3,"33,065",43,Series,TV-14,29,None,Mild,Mild,Mild,Mild,Action, Drama, Fantasy
La Fortuna,2021,7.1,172,None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate,Adventure, Thriller,
Coyote Ugly,2000,5.7,"110,965",100,Film,PG-13,-,Mild,Mild,Mild,Mild,Mild,Comedy, Drama, Music
Den of Thieves,2018,7,"101,546",140,Film,R,-,Mild,Moderate,Severe,Moderate,Moderate,Action, Crime, Drama
V,2018,6.8,"54,605",42,Series,TV-14,23,Mild,Severe,Mild,Mild,Moderate,Drama, Sci-Fi, Thriller
The Good Liar,2019,6.7,"34,278",109,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Crime, Drama, Mystery
Nip/Tuck,2019,7.6,"54,327",44,Series,TV-MA,100,Severe,Severe,Severe,Moderate,Severe,Drama,,
Habitación en Roma,2010,6.1,"23,222",107,Film,Not Rated,-,Severe,Mild,Mild,Mild,None,Drama, Romance,
Legion,2010,5.3,"102,632",100,Film,R,-,None,Severe,Severe,Mild,Severe,Action, Fantasy, Horror
The Mutation,2021,4.1,468,87,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror, Sci-Fi, Thriller
Dark Side of the Ring,2021,8.8,"2,410",60,Series,TV-14,30,No Rate,No Rate,No Rate,No Rate,No Rate,Documentary, Drama, History
Doctor Foster,2021,7.7,"17,263",60,Series,TV-MA,10,Moderate,Mild,Moderate,Mild,Mild,Drama,,
Black Summer,2021,6.5,"26,715",40,Series,TV-MA,16,Mild,Moderate,Moderate,Mild,Severe,Action, Drama, Horror
Unbreakable Kimmy Schmidt,2021,7.6,"67,004",30,Series,TV-14,51,Mild,None,Mild,Mild,None,Comedy,,
Haunt,2019,6.3,"24,822",92,Film,R,-,None,Severe,Moderate,Mild,Severe,Horror, Thriller,
Die Hard 2,1990,7.1,"348,068",124,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Thriller,
War for the Planet of the Apes,2017,7.4,"240,090",140,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Drama
Gintama,2017,8.6,"8,691",25,Series,TV-14,375,Moderate,Severe,Moderate,Moderate,Moderate,Animation, Action, Comedy
George Lopez,2017,6.7,"11,028",30,Series,TV-PG,120,None,None,Mild,Moderate,None,Comedy, Drama,
Annabelle Comes Home,2019,5.9,"67,797",106,Film,R,-,None,Moderate,Mild,None,Severe,Horror, Mystery, Thriller
Sixteen Candles,1984,7,"110,378",93,Film,PG,-,Moderate,None,Moderate,Moderate,None,Comedy, Romance,
I Still Know What You Did Last Summer,1998,4.7,"71,460",100,Film,R,-,Mild,Severe,Severe,Moderate,Severe,Horror, Mystery,
Henry Danger,1998,5.8,"4,196",30,Series,TV-G,121,None,Mild,None,None,Mild,Action, Comedy, Family
Spy,2015,7,"237,657",120,Film,R,-,Moderate,Severe,Severe,Mild,Mild,Action, Comedy,
Enter the Void,2009,7.3,"75,471",161,Film,Not Rated,-,Severe,Moderate,Severe,Severe,Severe,Drama, Fantasy,
Cursed,2005,5,"31,779",97,Film,PG-13,-,Mild,Moderate,Moderate,Moderate,Moderate,Comedy, Horror,
Black Snake Moan,2006,6.9,"62,539",116,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate,Drama, Music,
Steve Jobs,2015,7.2,"162,609",122,Film,R,-,None,None,Moderate,Mild,Mild,Biography, Drama,
For Those Who Think Young,1964,5.3,478,96,Film,Approved,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy,,
